species,genus,family
Abies alba,Abies,Pinaceae
Abies balsamea,Abies,Pinaceae
Abies sachalinensis,Abies,Pinaceae
Acer campestre,Acer,Sapindaceae
Acer negundo,Acer,Sapindaceae
Acer platanoides,Acer,Sapindaceae
Acer pseudoplatanus,Acer,Sapindaceae
Acer rubrum,Acer,Sapindaceae
Acer saccharum,Acer,Sapindaceae
Acer tataricum,Acer,Sapindaceae
Adenostoma fasciculatum,Adenostoma,Rosaceae
Adenostoma sparsifolium,Adenostoma,Rosaceae
Adesmia boronioides,Adesmia,Fabaceae
Alnus alnobetula,Alnus,Betulaceae
Alnus glutinosa,Alnus,Betulaceae
Alnus incana,Alnus,Betulaceae
Amelanchier ovalis,Amelanchier,Rosaceae
Anacardium excelsum,Anacardium,Anacardiaceae
Araucaria araucana,Araucaria,Araucariaceae
Araucaria cunninghamii,Araucaria,Araucariaceae
Arbutus unedo,Arbutus,Ericaceae
Arctostaphylos glandulosa,Arctostaphylos,Ericaceae
Arctostaphylos glauca,Arctostaphylos,Ericaceae
Artemisia tridentata,Artemisia,Asteraceae
Atriplex confertifolia,Atriplex,Amaranthaceae
Banksia attenuata,Banksia,Proteaceae
Banksia ilicifolia,Banksia,Proteaceae
Bauhinia variegata,Bauhinia,Fabaceae
Berberis microphylla,Berberis,Berberidaceae
Betula papyrifera,Betula,Betulaceae
Betula pendula,Betula,Betulaceae
Brachystegia boehmii,Brachystegia,Fabaceae
Brachystegia floribunda,Brachystegia,Fabaceae
Brachystegia longifolia,Brachystegia,Fabaceae
Brachystegia spiciformis,Brachystegia,Fabaceae
Bursera simaruba,Bursera,Burseraceae
Carpinus betulus,Carpinus,Betulaceae
Caryocar brasiliense,Caryocar,Caryocaraceae
Ceanothus crassifolius,Ceanothus,Rhamnaceae
Ceanothus greggii,Ceanothus,Rhamnaceae
Ceanothus leucodermis,Ceanothus,Rhamnaceae
Ceanothus megacarpus,Ceanothus,Rhamnaceae
Ceanothus oliganthus,Ceanothus,Rhamnaceae
Ceanothus spinosus,Ceanothus,Rhamnaceae
Cedrus deodara,Cedrus,Pinaceae
Cercocarpus betuloides,Cercocarpus,Rosaceae
Chamaecyparis lawsoniana,Chamaecyparis,Cupressaceae
Chamaecyparis obtusa,Chamaecyparis,Cupressaceae
Chamaecyparis pisifera,Chamaecyparis,Cupressaceae
Chrysothamnus viscidiflorus,Chrysothamnus,Asteraceae
Colliguaja integerrima,Colliguaja,Euphorbiaceae
Cornus sanguinea,Cornus,Cornaceae
Corylus avellana,Corylus,Betulaceae
Crataegus monogyna,Crataegus,Rosaceae
Cryptomeria japonica,Cryptomeria,Cupressaceae
Cunninghamia lanceolata,Cunninghamia,Cupressaceae
Cupressus macrocarpa,Cupressus,Cupressaceae
Dicorynia guianensis,Dicorynia,Fabaceae
Elaeagnus rhamnoides,Elaeagnus,Elaeagnaceae
Encelia farinosa,Encelia,Asteraceae
Enterolobium cyclocarpum,Enterolobium,Fabaceae
Eperua falcata,Eperua,Fabaceae
Ericameria nauseosa,Ericameria,Asteraceae
Erythrophleum africanum,Erythrophleum,Fabaceae
Eucalyptus camaldulensis,Eucalyptus,Myrtaceae
Eucalyptus globulus,Eucalyptus,Myrtaceae
Eucalyptus grandis,Eucalyptus,Myrtaceae
Eucalyptus populnea,Eucalyptus,Myrtaceae
Eucalyptus regnans,Eucalyptus,Myrtaceae
Eucalyptus saligna,Eucalyptus,Myrtaceae
Eucalyptus sideroxylon,Eucalyptus,Myrtaceae
Eucalyptus tereticornis,Eucalyptus,Myrtaceae
Eucalyptus viminalis,Eucalyptus,Myrtaceae
Euonymus europaeus,Euonymus,Celastraceae
Fagus grandifolia,Fagus,Fagaceae
Fagus sylvatica,Fagus,Fagaceae
Faramea occidentalis,Faramea,Rubiaceae
Frangula alnus,Frangula,Rhamnaceae
Fraxinus americana,Fraxinus,Oleaceae
Fraxinus angustifolia,Fraxinus,Oleaceae
Fraxinus excelsior,Fraxinus,Oleaceae
Ginkgo biloba,Ginkgo,Ginkgoaceae
Goupia glabra,Goupia,Goupiaceae
Heteromeles arbutifolia,Heteromeles,Rosaceae
Ilex aquifolium,Ilex,Aquifoliaceae
Isoberlinia angolensis,Isoberlinia,Fabaceae
Juglans cinerea,Juglans,Juglandaceae
Juglans microcarpa,Juglans,Juglandaceae
Juglans nigra,Juglans,Juglandaceae
Juglans regia,Juglans,Juglandaceae
Julbernardia paniculata,Julbernardia,Fabaceae
Juniperus ashei,Juniperus,Cupressaceae
Juniperus chinensis,Juniperus,Cupressaceae
Juniperus communis,Juniperus,Cupressaceae
Juniperus monosperma,Juniperus,Cupressaceae
Juniperus scopulorum,Juniperus,Cupressaceae
Juniperus virginiana,Juniperus,Cupressaceae
Larix decidua,Larix,Pinaceae
Larix gmelinii,Larix,Pinaceae
Larix kaempferi,Larix,Pinaceae
Larix occidentalis,Larix,Pinaceae
Larix sibirica,Larix,Pinaceae
Leucadendron salignum,Leucadendron,Proteaceae
Ligustrum vulgare,Ligustrum,Oleaceae
Liquidambar styraciflua,Liquidambar,Altingiaceae
Lycium chilense,Lycium,Solanaceae
Malus domestica,Malus,Rosaceae
Malus sylvestris,Malus,Rosaceae
Marquesia macroura,Marquesia,Dipterocarpaceae
Melia azedarach,Melia,Meliaceae
Metasequoia glyptostroboides,Metasequoia,Cupressaceae
Morus alba,Morus,Moraceae
Mulinum spinosum,Mulinum,Apiaceae
Myrtus communis,Myrtus,Myrtaceae
Pericopsis angolensis,Pericopsis,Fabaceae
Picea abies,Picea,Pinaceae
Picea glauca,Picea,Pinaceae
Picea mariana,Picea,Pinaceae
Picea sitchensis,Picea,Pinaceae
Pinus banksiana,Pinus,Pinaceae
Pinus caribaea,Pinus,Pinaceae
Pinus cembra,Pinus,Pinaceae
Pinus contorta,Pinus,Pinaceae
Pinus densiflora,Pinus,Pinaceae
Pinus echinata,Pinus,Pinaceae
Pinus edulis,Pinus,Pinaceae
Pinus mugo,Pinus,Pinaceae
Pinus nigra,Pinus,Pinaceae
Pinus pinaster,Pinus,Pinaceae
Pinus ponderosa,Pinus,Pinaceae
Pinus radiata,Pinus,Pinaceae
Pinus sylvestris,Pinus,Pinaceae
Pinus tabuliformis,Pinus,Pinaceae
Pinus taeda,Pinus,Pinaceae
Pinus wallichiana,Pinus,Pinaceae
Piptadenia obliqua,Piptadenia,Fabaceae
Pistacia lentiscus,Pistacia,Anacardiaceae
Platycladus orientalis,Platycladus,Cupressaceae
Populus alba,Populus,Salicaceae
Populus angustifolia,Populus,Salicaceae
Populus balsamifera,Populus,Salicaceae
Populus deltoides,Populus,Salicaceae
Populus euphratica,Populus,Salicaceae
Populus fremontii,Populus,Salicaceae
Populus grandidentata,Populus,Salicaceae
Populus nigra,Populus,Salicaceae
Populus tremula,Populus,Salicaceae
Populus tremuloides,Populus,Salicaceae
Populus trichocarpa,Populus,Salicaceae
Protea repens,Protea,Proteaceae
Prunus armeniaca,Prunus,Rosaceae
Prunus avium,Prunus,Rosaceae
Prunus dulcis,Prunus,Rosaceae
Prunus mahaleb,Prunus,Rosaceae
Prunus padus,Prunus,Rosaceae
Prunus persica,Prunus,Rosaceae
Prunus spinosa,Prunus,Rosaceae
Pseudotsuga menziesii,Pseudotsuga,Pinaceae
Psychotria horizontalis,Psychotria,Rubiaceae
Quercus agrifolia,Quercus,Fagaceae
Quercus coccifera,Quercus,Fagaceae
Quercus douglasii,Quercus,Fagaceae
Quercus ilex,Quercus,Fagaceae
Quercus kelloggii,Quercus,Fagaceae
Quercus lobata,Quercus,Fagaceae
Quercus petraea,Quercus,Fagaceae
Quercus pubescens,Quercus,Fagaceae
Quercus robur,Quercus,Fagaceae
Quercus rubra,Quercus,Fagaceae
Quercus suber,Quercus,Fagaceae
Quercus wislizeni,Quercus,Fagaceae
Rhododendron ferrugineum,Rhododendron,Ericaceae
Rhododendron hirsutum,Rhododendron,Ericaceae
Rhus trilobata,Rhus,Anacardiaceae
Robinia pseudoacacia,Robinia,Fabaceae
Rosmarinus officinalis,Rosmarinus,Lamiaceae
Salix alba,Salix,Salicaceae
Salix caprea,Salix,Salicaceae
Salix cinerea,Salix,Salicaceae
Salix purpurea,Salix,Salicaceae
Salvia mellifera,Salvia,Lamiaceae
Sambucus nigra,Sambucus,Viburnaceae
Schinus johnstonii,Schinus,Anacardiaceae
Sciadopitys verticillata,Sciadopitys,Sciadopityaceae
Senecio filaginoides,Senecio,Asteraceae
Sequoia sempervirens,Sequoia,Cupressaceae
Sequoiadendron giganteum,Sequoiadendron,Cupressaceae
Sorbus aria,Sorbus,Rosaceae
Sorbus aucuparia,Sorbus,Rosaceae
Sorbus torminalis,Sorbus,Rosaceae
Taxodium distichum,Taxodium,Cupressaceae
Taxus baccata,Taxus,Taxaceae
Tetragastris panamensis,Tetragastris,Burseraceae
Thuja occidentalis,Thuja,Cupressaceae
Thuja plicata,Thuja,Cupressaceae
Thujopsis dolabrata,Thujopsis,Cupressaceae
Tilia cordata,Tilia,Malvaceae
Tilia platyphyllos,Tilia,Malvaceae
Torreya nucifera,Torreya,Taxaceae
Tsuga canadensis,Tsuga,Pinaceae
Ulex europaeus,Ulex,Fabaceae
Ulmus minor,Ulmus,Ulmaceae
Vaccinium myrtillus,Vaccinium,Ericaceae
Vaccinium uliginosum,Vaccinium,Ericaceae
Vaccinium vitis-idaea,Vaccinium,Ericaceae
Viburnum lantana,Viburnum,Viburnaceae
Vitis vulpina,Vitis,Vitaceae
